record_id,date,asset_id,equipment_type,location,reported_by,complaint,root_cause,fix_steps,parts_used,cost_inr,downtime_hours,urgency,safety_critical,prior_failures_on_asset,prior_same_cause_on_asset,technician_notes,status,source
MR-0013,2024-10-16,PRJ-007,Projector,"Block C, 2nd floor",faculty member,"Projector shows a pink or green tint in Block C, 2nd floor.",Faulty HDMI cable or input port,Swap the HDMI cable | Test other input ports | Replace the cable or port board,HDMI cable,1000,1.0,Low,False,0,0,Found faulty HDMI cable or input port. Swap the HDMI cable. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0014,2024-10-18,AC-002,Air conditioner,"Block A, 2nd floor",lab assistant,"Water leaking from the indoor AC unit, also AC dripping water on the floor. Happening since the past few hours. Location: Block A, 2nd floor.",Blocked condensate drain line,Flush the drain line with air or water | Clear the blockage and clean the drain tray | Re-level the indoor unit | Run the unit and confirm no leakage,drain pipe,1050,1.0,Low,False,0,0,Found blocked condensate drain line. Flush the drain line with air or water. Closed after a successful test run.,resolved,seed
MR-0015,2024-10-20,AC-002,Air conditioner,"Block A, 2nd floor",student,"AC dripping water on the floor, also water stains on the wall below the AC in Block A, 2nd floor.",Blocked condensate drain line,Flush the drain line with air or water | Clear the blockage and clean the drain tray | Re-level the indoor unit | Run the unit and confirm no leakage,drain pipe,1100,1.0,Low,False,1,1,Found blocked condensate drain line. Flush the drain line with air or water. Recurring issue - 1 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0016,2024-10-24,AC-014,Air conditioner,"Sports Complex, Ground floor",hostel warden,"AC blowing air but the room stays warm, also weak airflow from the AC vents in Sports Complex, Ground floor.",Clogged air filter and dirty evaporator coil,Switch off and isolate the unit | Remove and wash or replace the air filter | Clean the evaporator coil with coil cleaner | Check airflow and run a cooling test,coil cleaner,900,1.5,Low,False,0,0,Found clogged air filter and dirty evaporator coil. Switch off and isolate the unit. Verified operation with the user before closing the ticket.,resolved,seed
MR-0017,2024-10-27,DG-003,Diesel generator,Admin Building basement,admin staff,"No supply to the block even though the DG is running, started last night.",Faulty ATS changeover contactor,Check the ATS control supply and logic | Inspect contactor contacts for burning | Replace the ATS contactor | Test changeover in both directions,ATS contactor,6950,3.5,Critical,True,0,0,Found faulty ATS changeover contactor. Check the ATS control supply and logic. Closed after a successful test run.,resolved,seed
MR-0018,2024-10-30,LT-005,Lighting,"Hostel 3, 1st floor",housekeeping supervisor,"Complaint from student: Corridor lights not switching on at night, also street lights staying on during the day (Hostel 3, 1st floor).",Faulty timer or photocell controller,Check timer settings and supply | Replace the photocell or timer | Test for two cycles,photocell,1250,1.5,Low,False,0,0,Found faulty timer or photocell controller. Check timer settings and supply. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0019,2024-10-31,LIFT-005,Elevator,Admin Building lift,student,Lift door makes a grinding noise in Admin Building lift.,Dirty door track and misaligned door sensor,Clean the door sill and track | Realign the door sensor | Lubricate door rollers | Test door cycle 10 times,"door sensor, door roller",4200,2.0,Medium,False,0,0,Found dirty door track and misaligned door sensor. Clean the door sill and track. Tested after repair; operating normally.,resolved,seed
MR-0020,2024-11-01,RO-001,Water purifier,"Block D, 1st floor",security guard,"Block D, 1st floor: RO water tastes bad, also water purifier giving low flow. Please check.",Clogged sediment filter and fouled RO membrane,Replace the sediment and carbon filters | Flush or replace the RO membrane | Test TDS after service,"RO membrane, sediment filter",2000,2.0,Low,False,0,0,Found clogged sediment filter and fouled RO membrane. Replace the sediment and carbon filters. Tested after repair; operating normally.,resolved,seed
MR-0021,2024-11-01,LIFT-004,Elevator,Hostel 2 lift,security guard,Lift stops slightly above the floor level in Hostel 2 lift.,Leveling sensor drift and brake wear,Recalibrate the leveling sensor | Inspect brake pads and brake gap | Adjust or replace worn brake pads | Run test trips on all floors,"brake pads, leveling sensor",3700,3.5,High,True,0,0,Found leveling sensor drift and brake wear. Recalibrate the leveling sensor. Closed after a successful test run.,resolved,seed
MR-0022,2024-11-02,UPS-001,UPS,"Lab Complex, Ground floor",lab assistant,"Complaint from lab assistant: UPS beeping with battery fault light, also UPS battery swollen or hot (Lab Complex, Ground floor).",Degraded battery bank,Run a battery discharge test | Replace the battery bank | Recalibrate battery runtime | Test backup on full load,UPS battery set,13450,2.0,Medium,False,2,2,Found degraded battery bank. Run a battery discharge test. Recurring issue - 2 similar failure(s) earlier on this asset. Verified operation with the user before closing the ticket.,resolved,seed
MR-0023,2024-11-04,UPS-001,UPS,"Lab Complex, Ground floor",housekeeping supervisor,"UPS switches to bypass repeatedly, also UPS shutting down under load. Happening since last night. Location: Lab Complex, Ground floor.",Inverter overload and faulty inverter board,Measure the connected load | Reduce load or shift equipment to another UPS | Inspect and replace the inverter board if faulty,inverter board,6000,4.0,Medium,False,3,0,Found inverter overload and faulty inverter board. Measure the connected load. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0025,2024-11-06,DG-002,Diesel generator,Hostel power room,hostel warden,"Urgent - DG set cranks weakly and fails to start, also generator auto start not working during the outage at Hostel power room.",Weak or dead starter battery,Test battery voltage and load | Replace the starter battery | Check charging alternator and terminals | Do a start test on load,12V battery,7050,2.0,High,False,0,0,Found weak or dead starter battery. Test battery voltage and load. Closed after a successful test run.,resolved,seed
MR-0027,2024-11-13,LT-001,Lighting,"Block D, 1st floor",hostel warden,"Complaint from hostel warden: Outdoor lights on at odd times (Block D, 1st floor).",Faulty timer or photocell controller,Check timer settings and supply | Replace the photocell or timer | Test for two cycles,"photocell, timer relay",1050,2.0,Low,False,0,0,Found faulty timer or photocell controller. Check timer settings and supply. Closed after a successful test run.,resolved,seed
MR-0028,2024-11-14,AC-009,Air conditioner,"Block D, Ground floor",security guard,"Block D, Ground floor: Ice forming on the AC copper pipe. Please check.",Low refrigerant due to gas leak,Perform a pressure and leak test | Seal or weld the leaking joint | Vacuum the line and recharge refrigerant | Verify cooling and gas pressure,"copper joint, refrigerant gas",4350,3.0,Medium,False,0,0,Found low refrigerant due to gas leak. Perform a pressure and leak test. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0029,2024-11-15,DG-001,Diesel generator,Main power house,hostel warden,Generator not starting when the power cut happened in Main power house.,Weak or dead starter battery,Test battery voltage and load | Replace the starter battery | Check charging alternator and terminals | Do a start test on load,12V battery,4700,1.5,High,False,0,0,Found weak or dead starter battery. Test battery voltage and load. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0031,2024-11-24,EP-003,Electrical panel,"Sports Complex, 2nd floor",faculty member,"Complaint from lab assistant: RCCB trips during rain (Sports Complex, 2nd floor).",Earth leakage causing RCCB trips,Perform an insulation resistance test | Locate and fix the leakage or earthing fault | Replace the RCCB if defective | Verify earth resistance,"RCCB, earthing wire",3500,3.0,Critical,True,0,0,Found earth leakage causing RCCB trips. Perform an insulation resistance test. Closed after a successful test run.,resolved,seed
MR-0032,2024-11-24,EP-004,Electrical panel,"Block B, 1st floor",admin staff,"Power trips whenever many machines are on in Block B, 1st floor.",Overloaded circuit causing MCB trips,Measure the load on each phase | Redistribute the load across circuits | Replace the weak MCB if needed | Monitor for 24 hours,MCB,1950,1.5,High,True,0,0,Found overloaded circuit causing MCB trips. Measure the load on each phase. Tested after repair; operating normally.,resolved,seed
MR-0033,2024-11-25,PRJ-008,Projector,"Block C, 1st floor",student,"Projector image is dim and turns off near Block C, 1st floor, started the past few hours.",Projector lamp near end of life with dust in vents,Clean the air filter and vents | Replace the projector lamp | Reset the lamp timer,projector lamp,8200,1.0,Low,False,0,0,Found projector lamp near end of life with dust in vents. Clean the air filter and vents. Tested after repair; operating normally.,resolved,seed
MR-0034,2024-11-29,RO-001,Water purifier,"Block D, 1st floor",lab assistant,"Water purifier giving low flow, also RO water tastes bad in Block D, 1st floor.",Clogged sediment filter and fouled RO membrane,Replace the sediment and carbon filters | Flush or replace the RO membrane | Test TDS after service,"sediment filter, RO membrane",1950,1.5,Low,False,1,1,Found clogged sediment filter and fouled RO membrane. Replace the sediment and carbon filters. Recurring issue - 1 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0035,2024-12-01,AC-007,Air conditioner,"Block A, Ground floor",housekeeping supervisor,"Block A, Ground floor: AC dripping water on the floor. Please check.",Blocked condensate drain line,Flush the drain line with air or water | Clear the blockage and clean the drain tray | Re-level the indoor unit | Run the unit and confirm no leakage,drain pipe,350,1.0,Low,False,0,0,Found blocked condensate drain line. Flush the drain line with air or water. Verified operation with the user before closing the ticket.,resolved,seed
MR-0036,2024-12-06,AC-014,Air conditioner,"Sports Complex, Ground floor",faculty member,Clicking noise from the outdoor unit and no cooling. Reported by student.,Failed compressor run capacitor,Isolate power and discharge the capacitor | Test capacitor value with a multimeter | Replace the run capacitor | Check compressor amperage after restart,run capacitor,850,1.5,High,False,1,0,Found failed compressor run capacitor. Isolate power and discharge the capacitor. Verified operation with the user before closing the ticket.,resolved,seed
MR-0037,2024-12-09,LT-001,Lighting,"Block D, 1st floor",lab assistant,"Corridor lights not switching on at night in Block D, 1st floor.",Faulty timer or photocell controller,Check timer settings and supply | Replace the photocell or timer | Test for two cycles,"timer relay, photocell",2000,2.0,Low,False,1,1,Found faulty timer or photocell controller. Check timer settings and supply. Recurring issue - 1 similar failure(s) earlier on this asset. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0038,2024-12-11,LIFT-005,Elevator,Admin Building lift,lab assistant,"Lift display blank and not moving near Admin Building lift, started last week.",Controller board fault or overload trip,Check the MCB and main supply | Inspect controller board and relays | Reset or replace the controller board | Full safety-circuit test before release,"controller board, relay",6600,6.0,Critical,True,2,1,Found controller board fault or overload trip. Check the MCB and main supply. Recurring issue - 1 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0039,2024-12-14,CCTV-004,CCTV system,Hostel 1 corridor,student,"Complaint from lab assistant: CCTV camera offline, also camera feed keeps disconnecting (Hostel 1 corridor).",Camera cable or PoE switch port failure,Check the camera power and cable | Test the PoE switch port | Replace the cable or move to a spare port,"network cable, PoE injector",1500,1.0,Medium,False,3,3,Found camera cable or PoE switch port failure. Check the camera power and cable. Recurring issue - 3 similar failure(s) earlier on this asset. Verified operation with the user before closing the ticket.,resolved,seed
MR-0040,2024-12-19,DG-002,Diesel generator,Hostel power room,student,Urgent - Changeover switch not working at Hostel power room.,Faulty ATS changeover contactor,Check the ATS control supply and logic | Inspect contactor contacts for burning | Replace the ATS contactor | Test changeover in both directions,ATS contactor,7600,4.0,Critical,True,1,0,Found faulty ATS changeover contactor. Check the ATS control supply and logic. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0041,2024-12-20,AC-010,Air conditioner,"Hostel 1, 1st floor",faculty member,"Bad smell coming from the AC, also AC takes hours to cool the room. Happening since this morning. Location: Hostel 1, 1st floor.",Clogged air filter and dirty evaporator coil,Switch off and isolate the unit | Remove and wash or replace the air filter | Clean the evaporator coil with coil cleaner | Check airflow and run a cooling test,"coil cleaner, air filter",1050,1.5,Low,False,0,0,Found clogged air filter and dirty evaporator coil. Switch off and isolate the unit. Verified operation with the user before closing the ticket.,resolved,seed
MR-0042,2024-12-21,EP-004,Electrical panel,"Block B, 1st floor",lab assistant,"Complaint from student: RCCB trips during rain (Block B, 1st floor).",Earth leakage causing RCCB trips,Perform an insulation resistance test | Locate and fix the leakage or earthing fault | Replace the RCCB if defective | Verify earth resistance,"earthing wire, RCCB",3900,2.0,Critical,True,1,0,Found earth leakage causing RCCB trips. Perform an insulation resistance test. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0043,2024-12-21,PL-004,Plumbing,"Hostel 3, 2nd floor",security guard,"Complaint from faculty member: Water not draining from the floor trap (Hostel 3, 2nd floor).",Blocked drain line,Rod or jet the drain line | Clear the blockage and clean the trap | Flush with clean water,drain cleaner,1850,3.0,Medium,False,0,0,Found blocked drain line. Rod or jet the drain line. Verified operation with the user before closing the ticket.,resolved,seed
MR-0044,2024-12-26,LIFT-001,Elevator,Block A lift 1,faculty member,"Lift stops slightly above the floor level, also elevator not leveling with the floor in Block A lift 1.",Leveling sensor drift and brake wear,Recalibrate the leveling sensor | Inspect brake pads and brake gap | Adjust or replace worn brake pads | Run test trips on all floors,"leveling sensor, brake pads",5300,2.5,High,True,2,1,Found leveling sensor drift and brake wear. Recalibrate the leveling sensor. Recurring issue - 1 similar failure(s) earlier on this asset. Verified operation with the user before closing the ticket.,resolved,seed
MR-0046,2025-01-04,AC-002,Air conditioner,"Block A, 2nd floor",student,"AC compressor not starting in Block A, 2nd floor.",Failed compressor run capacitor,Isolate power and discharge the capacitor | Test capacitor value with a multimeter | Replace the run capacitor | Check compressor amperage after restart,run capacitor,1500,1.5,High,False,2,0,Found failed compressor run capacitor. Isolate power and discharge the capacitor. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0047,2025-01-07,PL-007,Plumbing,"Auditorium, 1st floor",student,"Wet patch on the wall near the washroom. Happening since the past few hours. Location: Auditorium, 1st floor.",Leaking pipe joint or fitting,Close the local water supply | Locate the leak and replace the fitting | Repair the damaged plaster and waterproofing | Pressure test the line,sealant,2600,2.5,Medium,False,0,0,Found leaking pipe joint or fitting. Close the local water supply. Closed after a successful test run.,resolved,seed
MR-0048,2025-01-08,AC-008,Air conditioner,"Block B, 1st floor",housekeeping supervisor,"AC trips and does not start in Block B, 1st floor.",Failed compressor run capacitor,Isolate power and discharge the capacitor | Test capacitor value with a multimeter | Replace the run capacitor | Check compressor amperage after restart,run capacitor,1300,1.0,High,False,0,0,Found failed compressor run capacitor. Isolate power and discharge the capacitor. Verified operation with the user before closing the ticket.,resolved,seed
MR-0049,2025-01-11,RO-002,Water purifier,"Admin Building, 1st floor",lab assistant,"Purifier taking too long to fill near Admin Building, 1st floor, started yesterday.",Clogged sediment filter and fouled RO membrane,Replace the sediment and carbon filters | Flush or replace the RO membrane | Test TDS after service,"sediment filter, RO membrane",3000,1.0,Low,False,0,0,Found clogged sediment filter and fouled RO membrane. Replace the sediment and carbon filters. Verified operation with the user before closing the ticket.,resolved,seed
MR-0050,2025-01-13,CCTV-001,CCTV system,Parking area,student,"CCTV camera offline near Parking area, started last night.",Camera cable or PoE switch port failure,Check the camera power and cable | Test the PoE switch port | Replace the cable or move to a spare port,"network cable, PoE injector",650,3.0,Medium,False,1,0,Found camera cable or PoE switch port failure. Check the camera power and cable. Verified operation with the user before closing the ticket.,resolved,seed
MR-0051,2025-01-17,UPS-005,UPS,"Auditorium, 2nd floor",admin staff,"UPS switches to bypass repeatedly, also UPS overload alarm near Auditorium, 2nd floor, started last night.",Inverter overload and faulty inverter board,Measure the connected load | Reduce load or shift equipment to another UPS | Inspect and replace the inverter board if faulty,inverter board,8300,3.5,Medium,False,0,0,Found inverter overload and faulty inverter board. Measure the connected load. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0052,2025-01-22,FA-003,Fire alarm system,"Block B, 1st floor",lab assistant,"Complaint from faculty member: Fire alarm went off with no smoke (Block B, 1st floor).",Dirty smoke detector causing false alarms,Identify the zone on the panel | Clean or replace the smoke detector | Reset the zone and test it,smoke detector,1350,1.0,High,True,0,0,Found dirty smoke detector causing false alarms. Identify the zone on the panel. Closed after a successful test run.,resolved,seed
MR-0053,2025-01-23,RO-001,Water purifier,"Block D, 1st floor",admin staff,"RO water tastes bad near Block D, 1st floor, started this morning.",Clogged sediment filter and fouled RO membrane,Replace the sediment and carbon filters | Flush or replace the RO membrane | Test TDS after service,RO membrane,1550,1.0,Low,False,2,2,Found clogged sediment filter and fouled RO membrane. Replace the sediment and carbon filters. Recurring issue - 2 similar failure(s) earlier on this asset. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0054,2025-01-26,CCTV-005,CCTV system,Cafeteria,hostel warden,"Cafeteria: CCTV recording not available, also NVR beeping continuously. Please check.",Recorder hard disk failure,Check the disk status on the NVR | Replace the failed hard disk | Format and confirm recording,surveillance hard disk,4150,1.0,Medium,False,0,0,Found recorder hard disk failure. Check the disk status on the NVR. Closed after a successful test run.,resolved,seed
MR-0055,2025-01-27,CCTV-003,CCTV system,Library entrance,security guard,No video from the camera in the parking area. Reported by faculty member.,Camera cable or PoE switch port failure,Check the camera power and cable | Test the PoE switch port | Replace the cable or move to a spare port,"network cable, PoE injector",2200,1.0,Medium,False,0,0,Found camera cable or PoE switch port failure. Check the camera power and cable. Closed after a successful test run.,resolved,seed
MR-0056,2025-01-28,DG-003,Diesel generator,Admin Building basement,security guard,Steam coming from the generator radiator in Admin Building basement.,Coolant loss and radiator blockage causing overheating,Let the engine cool down and inspect for leaks | Refill coolant and replace the leaking hose or thermostat | Clean the radiator fins | Run a temperature test on load,"coolant, radiator hose",6350,3.5,High,False,1,0,Found coolant loss and radiator blockage causing overheating. Let the engine cool down and inspect for leaks. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0057,2025-02-01,PRJ-008,Projector,"Block C, 1st floor",faculty member,"Projector shuts down after 10 minutes. Happening since this morning. Location: Block C, 1st floor.",Projector lamp near end of life with dust in vents,Clean the air filter and vents | Replace the projector lamp | Reset the lamp timer,projector lamp,5800,2.0,Low,False,1,1,Found projector lamp near end of life with dust in vents. Clean the air filter and vents. Recurring issue - 1 similar failure(s) earlier on this asset. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0058,2025-02-02,LIFT-005,Elevator,Admin Building lift,housekeeping supervisor,Lift stops slightly above the floor level. Happening since yesterday. Location: Admin Building lift.,Leveling sensor drift and brake wear,Recalibrate the leveling sensor | Inspect brake pads and brake gap | Adjust or replace worn brake pads | Run test trips on all floors,"brake pads, leveling sensor",5600,3.0,High,True,3,0,Found leveling sensor drift and brake wear. Recalibrate the leveling sensor. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0059,2025-02-04,AC-001,Air conditioner,"Hostel 3, Ground floor",faculty member,"Hissing sound near the outdoor unit and no cooling, also ice forming on the AC copper pipe near Hostel 3, Ground floor, started last week.",Low refrigerant due to gas leak,Perform a pressure and leak test | Seal or weld the leaking joint | Vacuum the line and recharge refrigerant | Verify cooling and gas pressure,copper joint,6700,2.5,Medium,False,0,0,Found low refrigerant due to gas leak. Perform a pressure and leak test. Tested after repair; operating normally.,resolved,seed
MR-0060,2025-02-05,AC-008,Air conditioner,"Block B, 1st floor",student,"AC blowing air but the room stays warm near Block B, 1st floor, started two days ago.",Clogged air filter and dirty evaporator coil,Switch off and isolate the unit | Remove and wash or replace the air filter | Clean the evaporator coil with coil cleaner | Check airflow and run a cooling test,"coil cleaner, air filter",1300,1.5,Low,False,1,0,Found clogged air filter and dirty evaporator coil. Switch off and isolate the unit. Closed after a successful test run.,resolved,seed
MR-0061,2025-02-05,RO-001,Water purifier,"Block D, 1st floor",security guard,"Cooler compressor noisy near Block D, 1st floor, started last night.",Cooling unit failure in the water cooler,Check thermostat and compressor | Recharge gas or replace the thermostat | Test the cooling cycle,"refrigerant gas, thermostat",3100,2.0,Low,False,3,0,Found cooling unit failure in the water cooler. Check thermostat and compressor. Tested after repair; operating normally.,resolved,seed
MR-0062,2025-02-08,PRJ-002,Projector,"Auditorium, 2nd floor",student,"Auditorium, 2nd floor: Projector shuts down after 10 minutes. Please check.",Projector lamp near end of life with dust in vents,Clean the air filter and vents | Replace the projector lamp | Reset the lamp timer,projector lamp,3750,1.5,Low,False,0,0,Found projector lamp near end of life with dust in vents. Clean the air filter and vents. Verified operation with the user before closing the ticket.,resolved,seed
MR-0064,2025-02-09,DG-001,Diesel generator,Main power house,student,DG set cranks weakly and fails to start. Happening since the past few hours. Location: Main power house.,Weak or dead starter battery,Test battery voltage and load | Replace the starter battery | Check charging alternator and terminals | Do a start test on load,12V battery,4950,1.0,High,False,1,1,Found weak or dead starter battery. Test battery voltage and load. Recurring issue - 1 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0065,2025-02-14,CCTV-004,CCTV system,Hostel 1 corridor,hostel warden,Complaint from housekeeping supervisor: NVR beeping continuously (Hostel 1 corridor).,Recorder hard disk failure,Check the disk status on the NVR | Replace the failed hard disk | Format and confirm recording,surveillance hard disk,5100,2.0,Medium,False,4,0,Found recorder hard disk failure. Check the disk status on the NVR. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0067,2025-02-17,AC-011,Air conditioner,"Lab Complex, 3rd floor",admin staff,"AC takes hours to cool the room, also weak airflow from the AC vents near Lab Complex, 3rd floor, started the past few hours.",Clogged air filter and dirty evaporator coil,Switch off and isolate the unit | Remove and wash or replace the air filter | Clean the evaporator coil with coil cleaner | Check airflow and run a cooling test,"air filter, coil cleaner",1100,1.5,Low,False,0,0,Found clogged air filter and dirty evaporator coil. Switch off and isolate the unit. Closed after a successful test run.,resolved,seed
MR-0068,2025-02-26,PRJ-001,Projector,"Block A, 2nd floor",faculty member,"Projector shuts down after 10 minutes in Block A, 2nd floor.",Projector lamp near end of life with dust in vents,Clean the air filter and vents | Replace the projector lamp | Reset the lamp timer,projector lamp,7150,1.0,Low,False,0,0,Found projector lamp near end of life with dust in vents. Clean the air filter and vents. Verified operation with the user before closing the ticket.,resolved,seed
MR-0069,2025-03-07,FA-001,Fire alarm system,"Block D, Ground floor",faculty member,"Fire panel showing a battery fault, started last night.",Panel backup battery fault,Test the backup battery | Replace the battery | Verify the panel on mains and battery,12V sealed battery,4150,1.5,High,True,0,0,Found panel backup battery fault. Test the backup battery. Verified operation with the user before closing the ticket.,resolved,seed
MR-0070,2025-03-08,AC-001,Air conditioner,"Hostel 3, Ground floor",admin staff,"AC not cooling even though the compressor is running, also hissing sound near the outdoor unit and no cooling in Hostel 3, Ground floor.",Low refrigerant due to gas leak,Perform a pressure and leak test | Seal or weld the leaking joint | Vacuum the line and recharge refrigerant | Verify cooling and gas pressure,copper joint,6450,2.5,Medium,False,1,1,Found low refrigerant due to gas leak. Perform a pressure and leak test. Recurring issue - 1 similar failure(s) earlier on this asset. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0071,2025-03-12,PUMP-002,Water pump,Hostel 1 pump room,housekeeping supervisor,"Pump making noise but no water, started last night.",Loss of prime and leaking foot valve,Stop the pump and re-prime it | Inspect and replace the foot valve | Check the suction pipe for air leaks | Run the pump and confirm tank filling,foot valve,1100,1.5,Medium,False,1,1,Found loss of prime and leaking foot valve. Stop the pump and re-prime it. Recurring issue - 1 similar failure(s) earlier on this asset. Tested after repair; operating normally.,resolved,seed
MR-0072,2025-03-13,PUMP-004,Water pump,Main sump,lab assistant,Main sump: Water dripping near the pump shaft. Please check.,Worn mechanical seal and loose pipe joints,Replace the mechanical seal | Tighten and reseal pipe joints | Check the pressure gauge,"gasket, mechanical seal",2550,1.5,Low,False,1,0,Found worn mechanical seal and loose pipe joints. Replace the mechanical seal. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0073,2025-03-23,RO-002,Water purifier,"Admin Building, 1st floor",admin staff,"Water cooler not cooling, also cooler compressor noisy near Admin Building, 1st floor, started two days ago.",Cooling unit failure in the water cooler,Check thermostat and compressor | Recharge gas or replace the thermostat | Test the cooling cycle,thermostat,2700,2.5,Low,False,1,0,Found cooling unit failure in the water cooler. Check thermostat and compressor. Closed after a successful test run.,resolved,seed
MR-0075,2025-04-01,PRJ-006,Projector,"Auditorium, 3rd floor",security guard,"Projector display flickering, also projector shows a pink or green tint in Auditorium, 3rd floor.",Faulty HDMI cable or input port,Swap the HDMI cable | Test other input ports | Replace the cable or port board,HDMI cable,1150,0.5,Low,False,0,0,Found faulty HDMI cable or input port. Swap the HDMI cable. Unit monitored for an hour after repair; no issues.,resolved,seed
